CodMunicipio;habitacao_2008;transporte_2008;meioambiente_2008;politicaurbana_2008;CM_2008;CM_rec_2008;CM_dic_2008
130310;0;0;1;1;2;2;1
130320;0;0;0;0;0;0;0
130330;0;0;0;0;0;0;0
130340;0;0;0;0;0;0;0
130350;0;0;0;0;0;0;0
130353;0;0;1;0;1;1;1
130356;0;0;0;0;0;0;0
130360;0;0;0;0;0;0;0
130370;1;0;1;1;3;2;1
130380;0;1;1;0;2;2;1
130390;0;0;0;0;0;0;0
130395;1;0;0;0;1;0;0
130400;0;0;0;0;0;0;0
130406;0;0;0;0;0;0;0
130410;0;0;1;0;1;1;1
130420;1;1;1;1;4;3;1
130423;0;0;0;0;0;0;0
130426;0;0;0;0;0;0;0
130430;0;0;0;0;0;0;0
130440;0;0;0;0;0;0;0
140002;0;0;0;1;1;1;1
140005;0;0;0;1;1;1;1
140010;1;1;1;1;4;3;1
140015;0;0;0;0;0;0;0
140017;0;0;1;0;1;1;1
140020;0;0;0;0;0;0;0
140023;0;0;0;0;0;0;0
140028;0;0;1;0;1;1;1
140030;0;0;1;0;1;1;1
140040;0;0;0;0;0;0;0
140045;0;0;0;0;0;0;0
140047;0;0;0;1;1;1;1
140050;0;0;1;1;2;2;1
140060;0;0;0;0;0;0;0
140070;0;0;0;0;0;0;0
150010;1;0;1;1;3;2;1
150013;0;0;0;0;0;0;0
150020;0;0;1;0;1;1;1
150030;0;0;0;1;1;1;1
150034;0;0;1;1;2;2;1
150040;0;0;1;0;1;1;1
150050;0;0;0;0;0;0;0
150060;0;0;1;0;1;1;1
150070;0;0;0;1;1;1;1
150080;1;0;1;0;2;1;1
150085;0;0;1;0;1;1;1
150090;0;0;1;1;2;2;1
150095;0;0;0;0;0;0;0
150100;0;0;0;1;1;1;1
150110;0;0;0;0;0;0;0
150120;0;0;1;0;1;1;1
150125;0;0;1;0;1;1;1
150130;0;0;1;1;2;2;1
150140;1;1;1;1;4;3;1
150145;0;0;1;1;2;2;1
150150;0;0;0;1;1;1;1
150157;0;0;0;0;0;0;0
150160;0;0;0;0;0;0;0
150170;1;0;0;1;2;1;1
150172;0;0;0;0;0;0;0
150175;0;0;0;0;0;0;0
150178;0;0;0;0;0;0;0
150180;0;0;1;0;1;1;1
150190;0;0;1;1;2;2;1
150195;0;0;1;0;1;1;1
150200;0;0;0;1;1;1;1
150210;1;0;1;1;3;2;1
150215;0;0;0;1;1;1;1
150220;1;0;1;0;2;1;1
150230;0;0;0;0;0;0;0
150240;1;1;0;1;3;2;1
150250;0;0;0;0;0;0;0
150260;0;0;0;0;0;0;0
150270;1;0;0;1;2;1;1
150275;0;0;1;0;1;1;1
150276;0;0;1;0;1;1;1
150277;0;0;0;0;0;0;0
150280;0;0;1;0;1;1;1
150285;0;0;0;0;0;0;0
150290;0;0;0;0;0;0;0
150293;0;0;1;1;2;2;1
150295;0;0;1;1;2;2;1
150300;0;0;0;1;1;1;1
150304;0;0;0;1;1;1;1
150307;0;0;0;0;0;0;0
150309;0;0;1;1;2;2;1
150310;0;0;0;0;0;0;0
150320;0;0;0;0;0;0;0
150330;0;0;0;1;1;1;1
150340;0;0;1;0;1;1;1
150345;1;0;0;0;1;0;0
150350;0;0;0;0;0;0;0
150360;0;0;1;1;2;2;1
150370;0;0;1;0;1;1;1
150375;0;0;1;1;2;2;1
150380;0;0;1;1;2;2;1
150390;0;0;0;0;0;0;0
150400;0;0;1;0;1;1;1
150405;0;0;0;1;1;1;1
150410;0;0;0;0;0;0;0
150420;0;1;1;1;3;3;1
150430;0;0;0;0;0;0;0
150440;0;0;0;0;0;0;0
150442;0;0;1;0;1;1;1
150445;0;0;1;0;1;1;1
150450;0;0;1;0;1;1;1
150460;0;0;0;0;0;0;0
150470;0;0;0;0;0;0;0
150480;0;0;0;0;0;0;0
150490;0;0;0;0;0;0;0
150495;0;0;0;0;0;0;0
150497;0;0;0;0;0;0;0
150500;0;0;0;0;0;0;0
150503;0;0;0;0;0;0;0
150506;1;0;0;0;1;0;0
150510;0;0;1;0;1;1;1
150520;0;0;0;1;1;1;1
150530;0;0;0;0;0;0;0
150540;0;0;1;0;1;1;1
150543;0;0;1;1;2;2;1
150548;0;0;1;1;2;2;1
150549;0;0;1;0;1;1;1
150550;0;0;1;1;2;2;1
150553;0;0;1;1;2;2;1
150555;0;0;1;0;1;1;1
150560;0;0;0;0;0;0;0
150563;0;0;1;0;1;1;1
150565;0;0;0;0;0;0;0
150570;0;0;0;1;1;1;1
150580;0;0;1;0;1;1;1
150590;0;0;0;0;0;0;0
150600;0;0;0;0;0;0;0
150610;0;0;0;1;1;1;1
150611;0;0;0;0;0;0;0
150613;0;0;0;1;1;1;1
150616;0;0;1;0;1;1;1
150618;0;1;1;1;3;3;1
150619;0;0;0;0;0;0;0
150620;0;0;0;1;1;1;1
150630;0;0;1;0;1;1;1
150635;0;0;0;1;1;1;1
150640;0;0;0;0;0;0;0
150650;1;0;1;1;3;2;1
150655;0;0;0;0;0;0;0
150658;0;0;0;0;0;0;0
150660;0;0;1;0;1;1;1
150670;0;0;0;1;1;1;1
150680;0;1;0;0;1;1;1
150690;0;0;0;1;1;1;1
150700;0;0;0;0;0;0;0
150710;0;0;0;0;0;0;0
150715;0;0;1;1;2;2;1
150720;0;0;0;0;0;0;0
150730;0;0;1;0;1;1;1
150740;0;0;1;0;1;1;1
150745;0;0;1;0;1;1;1
150746;0;0;0;0;0;0;0
150747;0;0;0;0;0;0;0
150750;0;0;0;1;1;1;1
150760;0;0;1;0;1;1;1
150770;0;0;1;0;1;1;1
150775;1;0;0;0;1;0;0
150780;0;0;0;0;0;0;0
150790;0;0;0;0;0;0;0
150795;0;0;1;0;1;1;1
150796;0;0;1;0;1;1;1
150797;0;0;0;0;0;0;0
150800;0;0;0;1;1;1;1
150803;0;0;0;0;0;0;0
150805;0;0;0;1;1;1;1
150808;0;0;1;1;2;2;1
150810;0;0;1;1;2;2;1
150812;0;0;1;0;1;1;1
150815;0;0;1;0;1;1;1
150820;0;0;0;0;0;0;0
150830;0;0;0;0;0;0;0
150835;0;0;1;0;1;1;1
150840;1;0;1;1;3;2;1
160005;0;0;1;0;1;1;1
160010;0;0;1;0;1;1;1
160015;0;0;0;0;0;0;0
160020;0;0;0;0;0;0;0
160021;0;0;0;0;0;0;0
160023;0;0;0;0;0;0;0
160025;0;0;0;0;0;0;0
160027;0;0;1;0;1;1;1
160030;1;1;1;1;4;3;1
160040;0;0;1;0;1;1;1
160050;0;0;1;0;1;1;1
160053;0;0;0;0;0;0;0
160055;0;0;0;0;0;0;0
160060;1;1;1;1;4;3;1
160070;0;0;0;0;0;0;0
160080;0;0;0;0;0;0;0
170025;0;0;0;0;0;0;0
170030;0;0;0;0;0;0;0
170035;0;0;0;0;0;0;0
170040;0;0;0;0;0;0;0
170070;1;0;0;1;2;1;1
170100;0;0;1;0;1;1;1
170105;1;0;0;0;1;0;0
170110;1;0;0;0;1;0;0
170130;0;0;0;0;0;0;0
170190;1;0;1;0;2;1;1
170200;1;0;0;0;1;0;0
170210;1;0;1;1;3;2;1
170215;0;0;0;0;0;0;0
170220;1;0;1;0;2;1;1
170230;0;0;1;0;1;1;1
170240;1;0;0;0;1;0;0
170255;1;0;1;0;2;1;1
170270;0;0;0;0;0;0;0
170290;1;0;0;1;2;1;1
170300;0;0;1;0;1;1;1
170305;0;0;1;0;1;1;1
170307;0;0;0;0;0;0;0
170310;1;0;0;0;1;0;0
170320;1;0;1;0;2;1;1
170330;0;0;0;0;0;0;0
170360;1;0;0;0;1;0;0
170370;0;0;1;0;1;1;1
170380;0;0;0;0;0;0;0
170382;1;0;0;0;1;0;0
170384;0;0;0;0;0;0;0
170386;1;0;0;0;1;0;0
170388;0;0;0;0;0;0;0
170389;0;0;0;0;0;0;0
170390;0;0;1;0;1;1;1
170410;1;0;0;0;1;0;0
170460;0;0;0;0;0;0;0
170510;0;0;1;0;1;1;1
170550;1;0;1;1;3;2;1
170555;0;0;0;0;0;0;0
170560;0;0;0;0;0;0;0
170600;1;0;1;0;2;1;1
170610;0;0;1;1;2;2;1
170625;1;0;0;0;1;0;0
170650;0;0;0;0;0;0;0
170700;0;0;1;0;1;1;1
170710;0;0;0;0;0;0;0
170720;1;0;1;1;3;2;1
170730;0;0;1;0;1;1;1
170740;0;0;0;0;0;0;0
170755;0;0;0;0;0;0;0
170765;1;0;0;0;1;0;0
170770;0;0;0;0;0;0;0
170820;0;0;0;0;0;0;0
170825;1;0;1;0;2;1;1
170830;0;0;1;0;1;1;1
170900;1;0;0;0;1;0;0
170930;1;0;0;0;1;0;0
170950;1;0;1;1;3;2;1
170980;0;0;1;0;1;1;1
171050;0;0;1;0;1;1;1
171070;0;0;0;0;0;0;0
171090;0;0;0;0;0;0;0
171110;0;0;0;0;0;0;0
171150;0;0;0;0;0;0;0
171180;0;0;0;0;0;0;0
171190;1;0;1;1;3;2;1
171195;1;0;0;0;1;0;0
171200;1;0;0;0;1;0;0
171215;0;0;0;0;0;0;0
171240;0;0;0;0;0;0;0
171245;0;0;1;0;1;1;1
171250;0;0;0;0;0;0;0
171270;0;0;0;0;0;0;0
171280;1;0;0;0;1;0;0
171320;1;0;1;0;2;1;1
171330;0;0;0;0;0;0;0
171360;0;0;1;0;1;1;1
171370;1;0;0;0;1;0;0
171380;0;0;0;0;0;0;0
171395;0;0;0;0;0;0;0
171420;0;0;0;0;0;0;0
171430;0;0;1;0;1;1;1
171488;0;0;1;0;1;1;1
171500;0;0;0;0;0;0;0
171510;0;0;0;0;0;0;0
171515;1;0;1;0;2;1;1
171525;0;0;0;0;0;0;0
171550;1;0;0;0;1;0;0
171570;1;0;1;0;2;1;1
171575;0;0;0;0;0;0;0
171610;0;0;1;1;2;2;1
171620;0;0;0;0;0;0;0
171630;1;0;1;0;2;1;1
171650;0;0;0;0;0;0;0
171660;0;0;0;1;1;1;1
171665;1;0;1;0;2;1;1
171670;0;0;1;0;1;1;1
171700;0;0;0;0;0;0;0
171720;0;0;1;0;1;1;1
171750;0;0;1;0;1;1;1
171780;0;0;0;0;0;0;0
171790;0;0;0;0;0;0;0
171800;0;0;0;0;0;0;0
171820;1;0;0;0;1;0;0
171830;0;0;0;0;0;0;0
171840;0;0;0;0;0;0;0
171845;0;0;0;0;0;0;0
171850;0;0;0;0;0;0;0
171855;0;0;1;0;1;1;1
171865;1;0;0;0;1;0;0
171870;1;0;1;0;2;1;1
171875;0;0;0;0;0;0;0
171880;1;0;0;1;2;1;1
171884;1;0;0;0;1;0;0
171886;0;0;1;1;2;2;1
171888;0;0;0;0;0;0;0
171889;0;0;0;0;0;0;0
171890;0;0;1;0;1;1;1
171900;0;0;1;0;1;1;1
172000;0;0;1;0;1;1;1
172010;1;0;1;0;2;1;1
172015;0;0;0;0;0;0;0
172020;1;0;0;0;1;0;0
172025;0;0;0;0;0;0;0
172030;0;0;0;0;0;0;0
172049;0;0;0;0;0;0;0
172065;0;0;0;0;0;0;0
172080;0;0;0;0;0;0;0
172085;1;0;0;0;1;0;0
172090;0;0;1;0;1;1;1
172093;1;0;0;1;2;1;1
172097;0;0;1;0;1;1;1
172100;0;0;1;1;2;2;1
172110;0;0;1;0;1;1;1
172120;0;0;0;1;1;1;1
172125;0;0;0;0;0;0;0
172130;0;0;0;0;0;0;0
172208;0;0;1;0;1;1;1
172210;0;0;1;1;2;2;1
210005;0;1;1;1;3;3;1
210010;0;0;0;0;0;0;0
210015;0;0;0;0;0;0;0
210020;0;0;0;1;1;1;1
210030;0;0;0;0;0;0;0
210040;0;0;0;0;0;0;0
210043;0;0;0;0;0;0;0
210047;0;0;0;1;1;1;1
210050;0;0;0;0;0;0;0
210055;0;0;0;0;0;0;0
210060;0;0;0;0;0;0;0
210070;0;0;0;0;0;0;0
210080;1;0;0;0;1;0;0
210083;0;0;0;0;0;0;0
210087;0;0;0;0;0;0;0
210090;0;0;0;0;0;0;0
210095;0;0;0;1;1;1;1
210100;0;0;0;0;0;0;0
210110;0;0;1;0;1;1;1
210120;1;0;0;1;2;1;1
210125;0;0;0;0;0;0;0
210130;0;0;1;0;1;1;1
210135;0;0;0;0;0;0;0
210140;1;0;1;0;2;1;1
210150;0;0;0;0;0;0;0
210160;0;0;1;0;1;1;1
210170;0;0;1;0;1;1;1
210173;0;0;0;0;0;0;0
210177;0;0;0;0;0;0;0
210180;0;0;0;0;0;0;0
210190;0;0;0;0;0;0;0
210193;0;0;0;0;0;0;0
210197;0;0;0;0;0;0;0
210200;0;0;0;0;0;0;0
210203;0;0;1;0;1;1;1
210207;0;0;0;0;0;0;0
210210;1;0;1;1;3;2;1
210215;0;0;0;0;0;0;0
210220;0;0;0;0;0;0;0
210230;1;0;1;1;3;2;1
210232;1;0;1;1;3;2;1
210235;0;0;0;0;0;0;0
210237;0;0;0;0;0;0;0
210240;0;0;0;0;0;0;0
210250;0;0;0;0;0;0;0
210255;0;0;0;0;0;0;0
210260;0;0;0;0;0;0;0
210270;0;0;1;0;1;1;1
210275;1;0;0;0;1;0;0
210280;0;0;0;1;1;1;1
210290;0;0;0;0;0;0;0
210300;0;0;1;1;2;2;1
210310;0;0;0;0;0;0;0
210312;0;0;0;0;0;0;0
210315;0;0;0;0;0;0;0
210317;0;0;0;0;0;0;0
210320;1;0;1;1;3;2;1
210325;0;0;0;0;0;0;0
210330;0;0;1;0;1;1;1
210340;0;0;1;0;1;1;1
210350;0;0;1;0;1;1;1
210355;0;0;0;0;0;0;0
210360;0;0;1;0;1;1;1
210370;0;0;1;0;1;1;1
210375;1;1;1;0;3;2;1
210380;0;0;0;0;0;0;0
210390;0;0;0;0;0;0;0
210400;1;1;1;0;3;2;1
210405;0;0;0;0;0;0;0
210407;0;0;0;0;0;0;0
210408;0;0;0;0;0;0;0
210409;0;0;0;0;0;0;0
210410;0;0;0;0;0;0;0
210420;0;0;0;0;0;0;0
210430;1;0;1;0;2;1;1
210440;0;0;0;0;0;0;0
210450;0;0;0;0;0;0;0
210455;0;0;0;0;0;0;0
210460;0;0;0;0;0;0;0
210462;0;0;0;0;0;0;0
210465;0;0;0;0;0;0;0
210467;0;0;0;1;1;1;1
210470;0;0;0;0;0;0;0
210480;0;0;0;0;0;0;0
210490;0;0;1;0;1;1;1
210500;0;0;0;0;0;0;0
210510;1;0;1;1;3;2;1
210515;0;0;0;0;0;0;0
210520;0;0;0;0;0;0;0
210530;0;0;0;1;1;1;1
210535;0;0;0;0;0;0;0
210540;0;0;0;0;0;0;0
210542;0;0;0;0;0;0;0
210545;0;0;0;0;0;0;0
210547;0;0;0;0;0;0;0
210550;0;0;0;0;0;0;0
210560;0;0;0;0;0;0;0
210565;0;0;0;0;0;0;0
210570;0;0;0;0;0;0;0
210580;0;0;1;0;1;1;1
210590;0;0;0;0;0;0;0
210592;0;0;0;0;0;0;0
210594;0;0;0;0;0;0;0
210596;0;0;0;0;0;0;0
210598;0;0;0;0;0;0;0
210600;0;0;0;1;1;1;1
210610;0;0;0;0;0;0;0
210620;0;0;0;0;0;0;0
210630;0;0;0;0;0;0;0
210632;0;0;0;0;0;0;0
210635;0;0;0;0;0;0;0
210637;1;0;0;1;2;1;1
210640;0;0;1;0;1;1;1
210650;1;0;0;0;1;0;0
210660;0;0;0;1;1;1;1
210663;0;0;0;0;0;0;0
210667;0;0;0;0;0;0;0
210670;0;0;0;0;0;0;0
210675;0;0;0;0;0;0;0
210680;1;0;1;0;2;1;1
210690;0;0;0;0;0;0;0
210700;0;0;0;0;0;0;0
210710;0;0;1;0;1;1;1
210720;0;0;0;0;0;0;0
210725;0;0;0;0;0;0;0
210730;0;0;1;0;1;1;1
210735;0;0;0;0;0;0;0
210740;0;0;0;0;0;0;0
210745;1;0;0;0;1;0;0
210750;0;0;1;0;1;1;1
210760;0;0;0;0;0;0;0
210770;0;0;0;0;0;0;0
210780;0;0;0;0;0;0;0
210790;0;0;0;0;0;0;0
210800;0;0;1;0;1;1;1
210805;0;0;0;0;0;0;0
210810;0;0;0;1;1;1;1
210820;0;1;1;1;3;3;1
210825;0;0;0;0;0;0;0
210830;1;0;1;0;2;1;1
210840;0;0;0;0;0;0;0
210845;0;0;0;0;0;0;0
210850;0;0;0;0;0;0;0
210860;0;0;0;0;0;0;0
210870;1;0;1;1;3;2;1
210880;0;0;0;0;0;0;0
210890;0;0;0;0;0;0;0
210900;0;0;0;0;0;0;0
210905;0;0;0;0;0;0;0
210910;0;0;0;0;0;0;0
210920;0;0;0;0;0;0;0
210923;0;0;0;0;0;0;0
210927;1;0;0;0;1;0;0
210930;0;0;0;0;0;0;0
210940;0;0;0;0;0;0;0
210945;0;0;0;0;0;0;0
210950;0;0;0;0;0;0;0
210955;0;0;0;0;0;0;0
210960;0;0;1;0;1;1;1
210970;0;0;0;0;0;0;0
210975;0;0;0;0;0;0;0
210980;0;0;0;0;0;0;0
210990;0;0;0;0;0;0;0
211000;0;0;0;1;1;1;1
211003;0;0;0;0;0;0;0
211010;0;0;0;0;0;0;0
211020;0;0;0;1;1;1;1
211023;0;0;0;0;0;0;0
211027;0;0;0;0;0;0;0
211030;0;0;0;0;0;0;0
211040;0;0;0;0;0;0;0
211050;0;0;0;0;0;0;0
211060;0;0;0;0;0;0;0
211065;0;0;0;0;0;0;0
211070;0;0;0;0;0;0;0
211080;0;0;0;0;0;0;0
211085;0;0;0;0;0;0;0
211090;0;0;0;0;0;0;0
211100;0;0;0;0;0;0;0
211102;0;0;0;0;0;0;0
211105;0;0;0;0;0;0;0
211107;0;0;0;0;0;0;0
211110;0;0;0;1;1;1;1
211120;0;0;1;0;1;1;1
211125;0;0;0;0;0;0;0
211130;0;0;1;0;1;1;1
211140;0;0;0;0;0;0;0
211150;0;0;1;1;2;2;1
211153;0;0;0;0;0;0;0
211157;0;0;0;0;0;0;0
211160;0;0;1;0;1;1;1
211163;0;0;0;0;0;0;0
211167;0;0;0;0;0;0;0
211170;0;0;0;0;0;0;0
211172;0;0;0;0;0;0;0
211174;0;0;0;0;0;0;0
211176;0;0;0;0;0;0;0
211178;0;0;1;0;1;1;1
211180;1;0;0;0;1;0;0
211190;0;0;0;0;0;0;0
211195;0;0;0;0;0;0;0
211200;0;0;1;0;1;1;1
211210;0;0;0;0;0;0;0
211220;1;0;0;1;2;1;1
211223;1;0;1;0;2;1;1
211227;0;0;0;0;0;0;0
211230;0;0;0;0;0;0;0
211240;0;0;0;0;0;0;0
211245;0;0;0;0;0;0;0
211250;0;0;0;0;0;0;0
211260;0;0;0;0;0;0;0
211270;0;0;1;0;1;1;1
211280;0;0;1;1;2;2;1
211285;0;0;0;0;0;0;0
211290;0;0;0;0;0;0;0
211300;0;0;0;0;0;0;0
211400;0;0;0;0;0;0;0
220005;0;0;0;0;0;0;0
220010;1;0;0;0;1;0;0
220020;1;0;0;1;2;1;1
220025;0;0;0;0;0;0;0
220027;1;0;0;0;1;0;0
220030;1;0;0;0;1;0;0
220040;1;0;0;0;1;0;0
220045;0;0;0;0;0;0;0
220050;1;0;0;1;2;1;1
220060;1;0;0;0;1;0;0
220070;1;0;0;1;2;1;1
220080;1;0;0;0;1;0;0
220090;0;0;0;0;0;0;0
220095;1;0;0;0;1;0;0
220100;0;0;0;0;0;0;0
220105;1;0;0;0;1;0;0
220110;0;0;0;0;0;0;0
220115;0;0;0;0;0;0;0
220117;0;0;0;0;0;0;0
220120;1;0;0;0;1;0;0
220130;0;0;0;0;0;0;0
220140;0;0;0;0;0;0;0
220150;1;0;0;0;1;0;0
220155;0;0;0;0;0;0;0
220157;1;0;0;0;1;0;0
220160;1;0;0;0;1;0;0
220170;0;0;0;0;0;0;0
220173;0;0;0;0;0;0;0
220177;0;0;0;0;0;0;0
220180;0;0;0;0;0;0;0
220190;0;0;0;0;0;0;0
220191;1;0;1;0;2;1;1
220192;0;0;0;0;0;0;0
220194;0;0;0;0;0;0;0
220196;0;0;0;1;1;1;1
220198;0;0;0;0;0;0;0
220200;0;0;1;0;1;1;1
220202;1;0;0;0;1;0;0
220205;0;0;0;0;0;0;0
220207;1;0;0;0;1;0;0
220208;0;0;1;0;1;1;1
220209;0;0;0;0;0;0;0
220210;0;0;0;0;0;0;0
220211;0;0;0;0;0;0;0
220213;0;0;0;0;0;0;0
220217;0;0;0;0;0;0;0
220220;1;0;0;0;1;0;0
220225;1;0;0;0;1;0;0
220230;0;0;0;0;0;0;0
220240;0;0;0;0;0;0;0
220245;0;0;0;0;0;0;0
220250;1;0;0;0;1;0;0
220253;0;0;0;0;0;0;0
220255;1;0;0;0;1;0;0
220260;1;0;0;0;1;0;0
220265;0;0;0;0;0;0;0
220270;0;0;0;0;0;0;0
220271;0;0;0;0;0;0;0
220272;0;0;0;0;0;0;0
220273;0;0;0;0;0;0;0
220275;0;0;0;0;0;0;0
220277;0;0;0;0;0;0;0
220280;0;0;0;0;0;0;0
220285;0;0;0;0;0;0;0
220290;1;0;0;0;1;0;0
220300;0;0;0;0;0;0;0
220310;0;0;0;0;0;0;0
220320;1;0;0;0;1;0;0
220323;0;0;0;0;0;0;0
220325;0;0;0;0;0;0;0
220327;0;0;0;0;0;0;0
220330;1;0;0;1;2;1;1
220335;0;0;0;0;0;0;0
220340;0;0;0;0;0;0;0
220342;0;0;0;0;0;0;0
220345;0;0;0;0;0;0;0
220350;0;0;0;0;0;0;0
220360;0;0;0;0;0;0;0
220370;1;0;0;0;1;0;0
220375;0;0;0;0;0;0;0
220380;0;0;0;0;0;0;0
220385;0;0;0;0;0;0;0
220390;1;1;1;1;4;3;1
220400;1;0;0;0;1;0;0
220410;0;0;0;0;0;0;0
220415;0;0;0;1;1;1;1
220420;0;0;0;0;0;0;0
220430;0;0;0;0;0;0;0
220435;0;0;0;0;0;0;0
220440;1;0;1;0;2;1;1
220450;0;0;0;0;0;0;0
220455;0;0;0;0;0;0;0
220460;0;0;0;1;1;1;1
220465;0;0;0;1;1;1;1
220470;1;0;0;0;1;0;0
220480;1;0;0;0;1;0;0
220490;0;0;0;0;0;0;0
220500;0;0;0;0;0;0;0
220510;0;0;0;0;0;0;0
220515;0;0;0;0;0;0;0
220520;0;0;0;0;0;0;0
220525;0;0;0;0;0;0;0
220527;0;0;0;0;0;0;0
220530;0;0;0;0;0;0;0
220535;0;0;0;0;0;0;0
220540;0;0;0;0;0;0;0
220545;0;0;0;0;0;0;0
220550;1;0;0;0;1;0;0
220551;1;0;0;0;1;0;0
220552;0;0;0;0;0;0;0
220553;1;0;0;0;1;0;0
220554;0;0;0;0;0;0;0
220555;1;0;0;0;1;0;0
220556;0;0;0;0;0;0;0
220557;0;0;0;0;0;0;0
220558;1;0;1;0;2;1;1
220559;1;0;0;0;1;0;0
220560;0;0;0;0;0;0;0
220570;0;0;0;1;1;1;1
220580;0;0;0;0;0;0;0
220585;1;0;0;0;1;0;0
220590;0;0;0;0;0;0;0
220595;1;0;1;0;2;1;1
220600;1;0;0;0;1;0;0
220605;0;0;0;0;0;0;0
220610;0;0;0;0;0;0;0
220620;0;0;0;0;0;0;0
220630;0;0;0;1;1;1;1
220635;0;0;0;1;1;1;1
220640;1;0;1;1;3;2;1
220650;0;0;0;0;0;0;0
220660;0;0;0;0;0;0;0
220665;0;0;0;0;0;0;0
220667;0;0;0;0;0;0;0
220669;0;0;0;0;0;0;0
220670;0;0;0;0;0;0;0
220675;1;0;0;1;2;1;1
220680;0;0;0;0;0;0;0
220690;0;0;1;0;1;1;1
220695;0;0;0;0;0;0;0
220700;0;0;0;0;0;0;0
220710;0;0;0;0;0;0;0
220720;1;0;0;0;1;0;0
220730;0;0;0;0;0;0;0
220735;0;0;0;0;0;0;0
220740;0;0;0;0;0;0;0
220750;1;0;0;0;1;0;0
220755;0;0;0;0;0;0;0
220760;0;0;0;0;0;0;0
